0	-391.541313063
1	-391.541648581
2	-391.541992447
3	-391.542342182
4	-391.542677592
5	-391.542959783
6	-391.543150950
7	-391.543246704
8	-391.543314279
9	-391.543495742
10	-391.543854761
11	-391.544072023
12	-391.544011662
13	-391.543916909
14	-391.543842296
15	-391.543759811
16	-391.543650401
17	-391.543514539
18	-391.543366416
19	-391.543224689
20	-391.543104719
21	-391.543014970
22	-391.542957039
23	-391.542930413
24	-391.542932652
25	-391.542956182
26	-391.543003161
27	-391.543080552
28	-391.543239396
29	-391.543380862
30	-391.543613047
31	-391.543883262
32	-391.544172141
33	-391.544480662
34	-391.544837042
35	-391.545169083
36	-391.545494751
37	-391.545778048
38	-391.546017739
39	-391.546212972
40	-391.546362692
41	-391.546458258
42	-391.546490736
43	-391.546457304
44	-391.546362917
45	-391.546205476
46	-391.545979309
47	-391.545673633
48	-391.545284391
49	-391.544802039
50	-391.544196825
51	-391.543432159
52	-391.542488062
53	-391.541384379
54	-391.540163971
55	-391.538749988
56	-391.537581956
57	-391.536882022
58	-391.536728456
59	-391.537060750
60	-391.537771836
61	-391.538756152
62	-391.539926639
63	-391.541220000
64	-391.542592834
65	-391.544015688
66	-391.545468784
67	-391.546938645
68	-391.548415904
69	-391.549894092
70	-391.551368330
71	-391.552835104
72	-391.554291864
73	-391.555736353
74	-391.557166697
75	-391.558580961
76	-391.559977483
77	-391.561354399
78	-391.562710199
79	-391.564043057
80	-391.565351351
81	-391.566633286
82	-391.567887146
83	-391.569111027
84	-391.570302830
85	-391.571460483
86	-391.572581660
87	-391.573663975
88	-391.574704797
89	-391.575701150
90	-391.576650350
91	-391.577549801
92	-391.578397150
93	-391.579190051
94	-391.579925979
95	-391.580602812
96	-391.581218222
97	-391.581769134
98	-391.582252651
99	-391.582667666
100	-391.583014291
101	-391.583292170
102	-391.583503495
103	-391.583652622
104	-391.583748460
105	-391.583870088
106	-391.584121587
107	-391.584545342
108	-391.585146619
109	-391.585929350
110	-391.586897520
111	-391.588045651
112	-391.589366187
113	-391.590847750
114	-391.592473005
115	-391.594224709
116	-391.596083266
117	-391.598035376
118	-391.600062546
119	-391.602148179
120	-391.604275567
121	-391.606432808
122	-391.608604722
123	-391.610777860
124	-391.612940691
125	-391.615088382
126	-391.617210787
127	-391.619301890
128	-391.621353879
129	-391.623360145
130	-391.625319190
131	-391.627229297
132	-391.629088779
133	-391.630896238
134	-391.632649503
135	-391.634348328
136	-391.635992458
137	-391.637581782
138	-391.639116693
139	-391.640597503
140	-391.642024295
141	-391.643396921
142	-391.644715132
143	-391.645978976
144	-391.647188406
145	-391.648343319
146	-391.649443203
147	-391.650487511
148	-391.651475602
149	-391.652407096
150	-391.653281549
151	-391.654098675
152	-391.654857960
153	-391.655559057
154	-391.656201580
155	-391.656785228
156	-391.657309888
157	-391.657775464
158	-391.658181961
159	-391.658529184
160	-391.658816887
161	-391.659044972
162	-391.659213484
163	-391.659323643
164	-391.659382141
165	-391.659406755
166	-391.659416129
167	-391.659419834
168	-391.659421372
169	-391.659422487
170	-391.659423068
171	-391.659423165
172	-391.659423014
173	-391.659423033
174	-391.659423706
175	-391.659424634
176	-391.659424907
177	-391.659424866
178	-391.659424602
179	-391.659424813
180	-391.659425402
181	-391.659425518
182	-391.659425425
183	-391.659424935
102	-391.583503495
103	-391.583652622
104	-391.583748460
105	-391.583870088
106	-391.584121587
107	-391.584545342
108	-391.585146619
109	-391.585929350
110	-391.586897521
111	-391.588045651
112	-391.589366187
113	-391.590847750
114	-391.592473005
115	-391.594224709
116	-391.596083266
117	-391.598035376
118	-391.600062546
119	-391.602148179
120	-391.604275567
121	-391.606432808
122	-391.608604722
123	-391.610777860
124	-391.612940691
125	-391.615088382
126	-391.617210787
127	-391.619301890
128	-391.621353879
129	-391.623360145
130	-391.625319190
131	-391.627229297
132	-391.629088779
133	-391.630896238
134	-391.632649503
135	-391.634348328
136	-391.635992458
137	-391.637581782
138	-391.639116693
139	-391.640597503
140	-391.642024295
141	-391.643396921
142	-391.644715132
143	-391.645978976
144	-391.647188406
145	-391.648343319
146	-391.649443203
147	-391.650487511
148	-391.651475602
149	-391.652407096
150	-391.653281549
151	-391.654098675
152	-391.654857960
153	-391.655559057
154	-391.656201580
155	-391.656785228
156	-391.657309888
157	-391.657775464
158	-391.658181961
159	-391.658529184
160	-391.658816887
161	-391.659044972
162	-391.659213485
163	-391.659323643
164	-391.659382141
165	-391.659406755
166	-391.659416129
167	-391.659419834
168	-391.659421372
169	-391.659422487
170	-391.659423068
171	-391.659423165
172	-391.659423014
173	-391.659423033
174	-391.659423706
175	-391.659424634
176	-391.659424907
177	-391.659424866
178	-391.659424602
179	-391.659424813
180	-391.659425402
181	-391.659425518
182	-391.659425425
183	-391.659424935
